,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
59,Columbia City,47.5579124,-122.2852162,Kezira Cafe and Restaurant,47.556114,-122.28323300000001,Ethiopian Restaurant
60,Columbia City,47.5579124,-122.2852162,Molly Moon's Homemade Ice Cream,47.55882815470639,-122.28560363004792,Ice Cream Shop
61,Columbia City,47.5579124,-122.2852162,Hummingbird Saloon,47.55606238855604,-122.28407250770172,Bar
62,Columbia City,47.5579124,-122.2852162,All The Best Pet Care,47.55940149382838,-122.2862287362029,Pet Store
63,Columbia City,47.5579124,-122.2852162,Rookies Sports Bar & Grill,47.55782898132812,-122.28428554993344,American Restaurant
64,Columbia City,47.5579124,-122.2852162,Columbia City Farmers Market,47.55873816056151,-122.28761411099917,Farmers Market
65,Columbia City,47.5579124,-122.2852162,The Royal Room,47.55691067344526,-122.2843054916076,Lounge
66,Columbia City,47.5579124,-122.2852162,Safari Restaurant,47.556062453830855,-122.28436653681008,African Restaurant
67,Columbia City,47.5579124,-122.2852162,Lottie's Lounge,47.55776203283563,-122.28492878612765,Bar
68,Columbia City,47.5579124,-122.2852162,Billiard Hoang,47.557272195929045,-122.29048003196088,Vietnamese Restaurant
69,Columbia City,47.5579124,-122.2852162,Columbia Park,47.559803899363644,-122.28750944137573,Park
70,Columbia City,47.5579124,-122.2852162,El Sombrero,47.55809892962339,-122.28503113156448,Mexican Restaurant
71,Columbia City,47.5579124,-122.2852162,Pagliacci,47.55776528321408,-122.28519040503167,Pizza Place
72,Columbia City,47.5579124,-122.2852162,Backyard,47.558024702336155,-122.2841557495872,Sports Bar
73,Columbia City,47.5579124,-122.2852162,Wabi-Sabi Sushi Bar and Restaurant,47.557621679546735,-122.28501748132184,Sushi Restaurant
74,Columbia City,47.5579124,-122.2852162,Olympia Coffee,47.55882286526829,-122.28525906801222,Coffee Shop
75,Columbia City,47.5579124,-122.2852162,Subway,47.55870935931556,-122.28549060817737,Sandwich Place
76,Columbia City,47.5579124,-122.2852162,Jus Bar,47.55763825070477,-122.28485167187065,Juice Bar
77,Columbia City,47.5579124,-122.2852162,The Spice Room,47.557527054223364,-122.2851186258251,Thai Restaurant
78,Columbia City,47.5579124,-122.2852162,Vino Verite,47.55757980191045,-122.28468573391707,Wine Shop
79,Ballard,47.6765073,-122.3862233,Copine,47.67574136749478,-122.38740432867978,French Restaurant
80,Ballard,47.6765073,-122.3862233,Rupee Bar,47.674828,-122.38784,Sri Lankan Restaurant
81,Ballard,47.6765073,-122.3862233,Olaf's,47.67471181910651,-122.38781490780408,Bar
82,Ballard,47.6765073,-122.3862233,Baleen,47.675779,-122.38191,Jewelry Store
83,Ballard,47.6765073,-122.3862233,addo Ballard,47.675509,-122.387395,Restaurant
84,Ballard,47.6765073,-122.3862233,Mabel Coffee,47.6796498,-122.3879238,Coffee Shop
85,Ballard,47.6765073,-122.3862233,Tandoozy,47.6749881238462,-122.38143796484752,Food Truck
86,Ballard,47.6765073,-122.3862233,Salmon Bay Park,47.67918224152669,-122.38126445349697,Park
87,Ballard,47.6765073,-122.3862233,Ballard Boys & Girls Club,47.67511980575124,-122.38179335868318,Baseball Field
88,Ballard,47.6765073,-122.3862233,The Train Center,47.67964436678064,-122.38769925090699,Hobby Shop
89,Ballard,47.6765073,-122.3862233,Adams playground,47.6736785696093,-122.39096022387837,Playground
90,Interbay,47.6407418,-122.3763394,Total Wine & More,47.6387727,-122.3770757,Wine Shop
91,Interbay,47.6407418,-122.3763394,Alpine Hut,47.63925968383428,-122.37647726029358,Bike Shop
92,Interbay,47.6407418,-122.3763394,Michaels,47.64016230782979,-122.37888689455163,Arts & Crafts Store
93,Interbay,47.6407418,-122.3763394,HomeGoods,47.6398686,-122.3779183,Department Store
94,Interbay,47.6407418,-122.3763394,Interbay Golf Center,47.64412444618593,-122.37776858245111,Golf Course
95,Interbay,47.6407418,-122.3763394,Whole Foods Market,47.6369248138683,-122.37676134677211,Grocery Store
96,Interbay,47.6407418,-122.3763394,Cold Stone Creamery,47.640682,-122.373686,Ice Cream Shop
97,Interbay,47.6407418,-122.3763394,Petco,47.63667909756935,-122.37735172642434,Pet Store
98,Interbay,47.6407418,-122.3763394,Interbay Putting Course,47.64382704958854,-122.37841376458415,Golf Course
99,Interbay,47.6407418,-122.3763394,Allegro Espresso Bar,47.636644323603356,-122.37681439375511,Coffee Shop
100,Interbay,47.6407418,-122.3763394,Metro Bus Stop #13810,47.64498365910502,-122.37632525432466,Bus Stop
101,South Park,47.5264675,-122.3229131,Burdick Brewery,47.530318,-122.32326100000002,Brewery
102,South Park,47.5264675,-122.3229131,Seattle Public Library - South Park,47.526264000000005,-122.322593,Library
103,South Park,47.5264675,-122.3229131,Cesar Chavez Park,47.52667750728217,-122.32533931732176,Park
104,South Park,47.5264675,-122.3229131,Osprey Bistro,47.526024,-122.328926,Restaurant
105,South Park,47.5264675,-122.3229131,Georgetown Duwamish River Park,47.530632098283405,-122.32291842176593,Park
106,South Park,47.5264675,-122.3229131,Seattle Bartending College,47.52617388632987,-122.3295156934273,Bar
107,Central District,47.6031101,-122.3082702,Pratt Fine Arts Center,47.59973068822389,-122.30720937699253,Art Gallery
108,Central District,47.6031101,-122.3082702,Broadcast Coffee,47.6017296721064,-122.30650437872471,Coffee Shop
109,Central District,47.6031101,-122.3082702,Cheeky Cafe,47.599403706302354,-122.31004817902917,Breakfast Spot
110,Central District,47.6031101,-122.3082702,Washington Hall,47.6029184861685,-122.31436882785565,Performing Arts Venue
111,Central District,47.6031101,-122.3082702,R&L Home of Good Bar-B-Q,47.601857,-122.30823500000001,BBQ Joint
112,Central District,47.6031101,-122.3082702,Jackson's Catfish Corner,47.602112,-122.305314,Fish & Chips Shop
113,Central District,47.6031101,-122.3082702,Northwest Tofu Factory,47.59923614914456,-122.307078114939,Chinese Restaurant
114,Central District,47.6031101,-122.3082702,Edwin T Pratt Park,47.5995705068377,-122.30983545174797,Playground
115,Central District,47.6031101,-122.3082702,Wonder Coffee and Sports Bar,47.5994105264062,-122.30773626401846,Ethiopian Restaurant
116,Central District,47.6031101,-122.3082702,Moonlight Cafe,47.59900599464446,-122.30658041474894,Vietnamese Restaurant
117,Central District,47.6031101,-122.3082702,Starbucks,47.60648389,-122.3110238,Coffee Shop
118,Central District,47.6031101,-122.3082702,The Bread District,47.599695032119726,-122.30516342117343,Plaza
119,Central District,47.6031101,-122.3082702,Domino's Pizza,47.599431853976185,-122.30817769822892,Pizza Place
120,Central District,47.6031101,-122.3082702,Langston Hughes Performing Arts Center,47.60138167070705,-122.30984892275393,Performing Arts Venue
121,Central District,47.6031101,-122.3082702,Starbucks,47.607059,-122.309248,Coffee Shop
122,Central District,47.6031101,-122.3082702,Legacy at Pratt Park Apartments,47.59972293328823,-122.3083174131406,Residential Building (Apartment / Condo)
123,Central District,47.6031101,-122.3082702,Dr. Blanche S. Lavizzo Park,47.60049157245997,-122.30424642562866,Park
124,Central District,47.6031101,-122.3082702,F45 Training Seattle Central District,47.599163,-122.308406,Gym
125,Central District,47.6031101,-122.3082702,Salsa 'N Seattle Dance Studio,47.599413,-122.306067,Salsa Club
126,Central District,47.6031101,-122.3082702,Seven Star Mini Mart,47.598915999999996,-122.30673300000001,Liquor Store
127,Georgetown,47.5489326,-122.3300573,The Dog House Bar and Grill,47.550835,-122.329201,Bar
128,Georgetown,47.5489326,-122.3300573,Counterbalance Brewing,47.545616981204226,-122.32833057328608,Brewery
129,Georgetown,47.5489326,-122.3300573,Seattle Design Center,47.55142999116901,-122.3281662344737,Design Studio
130,Georgetown,47.5489326,-122.3300573,Cakes of Paradise,47.54562592752185,-122.32603641749841,Bakery
131,Georgetown,47.5489326,-122.3300573,Slim's Last Chance Chili Shack,47.55250657604569,-122.3340073319556,Bar
132,Georgetown,47.5489326,-122.3300573,Marco Polo Pub,47.552049246738406,-122.32981324195862,Pub
133,Georgetown,47.5489326,-122.3300573,Kauai Family Restaurant,47.545535742361395,-122.32591825303282,Hawaiian Restaurant
134,Georgetown,47.5489326,-122.3300573,Harried & Hungry Catering & Cafe,47.54565239999999,-122.3276627,Salad Place
135,Georgetown,47.5489326,-122.3300573,I Luv Teriyaki,47.545146211138544,-122.32951761295811,Japanese Restaurant
136,Georgetown,47.5489326,-122.3300573,Alki Bakery Café,47.551838509390286,-122.33408008025746,Coffee Shop
137,Georgetown,47.5489326,-122.3300573,Kittens Cabaret,47.55081100267848,-122.32913732528685,Strip Club
138,Georgetown,47.5489326,-122.3300573,Pho Ha,47.54461597218997,-122.3298999287385,Vietnamese Restaurant
139,Georgetown,47.5489326,-122.3300573,U.S. Bank ATM,47.545035,-122.33012222,ATM
140,Georgetown,47.5489326,-122.3300573,Mikou Teriyaki,47.54472064188858,-122.32995849141251,Japanese Restaurant
141,Georgetown,47.5489326,-122.3300573,Enterprise Rent-A-Car,47.544824,-122.329155,Rental Car Location
142,Georgetown,47.5489326,-122.3300573,Subway,47.552569878704,-122.32988045116707,Sandwich Place
143,Georgetown,47.5489326,-122.3300573,Les Schwab Tire Center,47.54758,-122.32967,Automotive Shop
144,Georgetown,47.5489326,-122.3300573,Espresso by Design,47.55091972542715,-122.32792982101792,Coffee Shop
145,Georgetown,47.5489326,-122.3300573,Starbucks,47.546040000000005,-122.325593,Coffee Shop
146,Georgetown,47.5489326,-122.3300573,Shell,47.54656421,-122.32578948,Gas Station
147,Georgetown,47.5489326,-122.3300573,Pacific Lamp & Supply Co,47.549563,-122.33023,Other Repair Shop
148,Georgetown,47.5489326,-122.3300573,Whole Foods Market Select Fish,47.548642,-122.333049,Fish Market
149,Georgetown,47.5489326,-122.3300573,Northwest Wholesale Florist,47.547615,-122.3275,Flower Shop
150,Georgetown,47.5489326,-122.3300573,Kate Alkarni Gallery,47.551238,-122.328077,Art Gallery
151,Georgetown,47.5489326,-122.3300573,Ingallina's Box Lunch,47.547156,-122.333671,Sandwich Place
152,Georgetown,47.5489326,-122.3300573,Muy Macho Taco Truck,47.54575845109288,-122.32982607683955,Food Truck
153,Georgetown,47.5489326,-122.3300573,CalPortland,47.548302,-122.33482099999999,Construction & Landscaping
154,Georgetown,47.5489326,-122.3300573,Baristas Espresso,47.545496874160854,-122.32996786037886,Coffee Shop
155,Georgetown,47.5489326,-122.3300573,Nate's Surplus,47.54541558778806,-122.33015828269095,Clothing Store
156,Georgetown,47.5489326,-122.3300573,OpenSquare,47.55239459805013,-122.32756625731659,Furniture / Home Store
157,Georgetown,47.5489326,-122.3300573,Wok's Teriyaki,47.54574344190168,-122.32591114817413,Asian Restaurant
158,Lake City,47.7191619,-122.2954939,Elliott Bay Public House & Brewery,47.720372659435526,-122.29500552647555,Pub
159,Lake City,47.7191619,-122.2954939,Dick's Drive-In,47.71822494212654,-122.29677625948435,Burger Joint
160,Lake City,47.7191619,-122.2954939,2C Thai,47.71952834976589,-122.29503011302481,Thai Restaurant
161,Lake City,47.7191619,-122.2954939,Korochka,47.71859374926604,-122.29547515783992,Gastropub
162,Lake City,47.7191619,-122.2954939,Thai One On,47.71867329959773,-122.2956886791239,Thai Restaurant
163,Lake City,47.7191619,-122.2954939,Kaffeeklatsch,47.71990931451549,-122.29493361808976,Café
164,Lake City,47.7191619,-122.2954939,Brother Barrel,47.72028929879187,-122.29497198666594,Beer Bar
165,Lake City,47.7191619,-122.2954939,Dogwood Indoor Dog Park,47.7211268547907,-122.29176154004739,Dog Run
166,Lake City,47.7191619,-122.2954939,Aloha Ramen,47.72142549550767,-122.29599282862895,Noodle House
167,Lake City,47.7191619,-122.2954939,Pho An Restaurant,47.72006137070629,-122.2945291069953,Vietnamese Restaurant
168,Lake City,47.7191619,-122.2954939,The Beer Authority,47.72190993608883,-122.29347922292739,Beer Store
169,Lake City,47.7191619,-122.2954939,Toyoda Sushi,47.720490845952796,-122.29480799195689,Sushi Restaurant
170,Lake City,47.7191619,-122.2954939,Lake City Gyros,47.71850145855551,-122.29557000770824,Greek Restaurant
171,Lake City,47.7191619,-122.2954939,The Back Door Pub,47.718371994876605,-122.29560344725644,Bar
172,Lake City,47.7191619,-122.2954939,T-Mobile,47.720143,-122.2952349,Mobile Phone Shop
173,Lake City,47.7191619,-122.2954939,Chipotle Mexican Grill,47.721877963844044,-122.29420685276125,Mexican Restaurant
174,Lake City,47.7191619,-122.2954939,Slate CrossFit,47.7209826520902,-122.29876843877867,Gym / Fitness Center
175,Lake City,47.7191619,-122.2954939,Seattle Gymnastics Academy Lake City,47.72045818039574,-122.3008875652544,Gymnastics Gym
176,Lake City,47.7191619,-122.2954939,Starbucks,47.71602579171744,-122.29772884524569,Coffee Shop
177,Lake City,47.7191619,-122.2954939,Chase Bank,47.71908196916299,-122.29479244295692,Bank
178,Lake City,47.7191619,-122.2954939,Wells Fargo,47.72256337880489,-122.29381799697876,Bank
179,Lake City,47.7191619,-122.2954939,Bartell Drugs,47.71961203955896,-122.29558232107986,Pharmacy
180,Lake City,47.7191619,-122.2954939,Jalisco,47.718509775716896,-122.29495511434979,Mexican Restaurant
181,Lake City,47.7191619,-122.2954939,FedEx Office Print & Ship Center,47.7197956,-122.2952562,Shipping Store
182,Lake City,47.7191619,-122.2954939,The Breakfast Club,47.71779359583191,-122.29580095025582,Breakfast Spot
183,Lake City,47.7191619,-122.2954939,Grocery Outlet,47.7216722,-122.2950102,Grocery Store
184,Lake City,47.7191619,-122.2954939,Papa Murphy's,47.721234112097584,-122.29607801475292,Pizza Place
185,Lake City,47.7191619,-122.2954939,Enterprise Rent-A-Car,47.71529316245914,-122.29793921874261,Rental Car Location
186,Lake City,47.7191619,-122.2954939,Romio's Pizza and Pasta,47.72037527876768,-122.29436827910494,Pizza Place
187,Lake City,47.7191619,-122.2954939,King County Metro Stop # 76720,47.7200813293457,-122.29438018798828,Bus Stop
188,Lake City,47.7191619,-122.2954939,Schmetzer's Sporthaus,47.720043,-122.29431799999999,Sporting Goods Shop
189,Lake City,47.7191619,-122.2954939,Double J Saloon,47.72036303870132,-122.29427630553644,Bar
190,Lake City,47.7191619,-122.2954939,Cash America Pawn,47.721165,-122.293632,Pawn Shop
191,Lake City,47.7191619,-122.2954939,Spring Lake Apartments,47.720319,-122.29016100000001,Hotel
192,Lake City,47.7191619,-122.2954939,Friendly Foam Shop,47.721009,-122.300693,Home Service
193,Greenwood,47.6909806,-122.3548773,Flying Bike Cooperative Brewery,47.692122768749485,-122.35517491863925,Brewery
194,Greenwood,47.6909806,-122.3548773,FlintCreek Cattle Co.,47.690559633168526,-122.35542071893997,Steakhouse
195,Greenwood,47.6909806,-122.3548773,Snapdoodle,47.69112635768305,-122.35704998869059,Bookstore
196,Greenwood,47.6909806,-122.3548773,The Yard Cafe,47.68955027872185,-122.35549240832096,Bar
197,Greenwood,47.6909806,-122.3548773,Chocolati Greenwood,47.68973167737688,-122.3556025434268,Coffee Shop
198,Greenwood,47.6909806,-122.3548773,Shanghai Room,47.692263316648685,-122.35511558854364,Lounge
199,Greenwood,47.6909806,-122.3548773,The Cozy Nut Tavern,47.69054729248996,-122.3567953099054,Bar
200,Greenwood,47.6909806,-122.3548773,Mud Bay,47.69163524626908,-122.35762291094933,Pet Store
201,Greenwood,47.6909806,-122.3548773,Gainsbourg,47.69142155514444,-122.35514729320126,French Restaurant
202,Greenwood,47.6909806,-122.3548773,Coyle's Bakeshop,47.689236215249444,-122.35517011723962,Bakery
203,Greenwood,47.6909806,-122.3548773,Monkey Grind Espresso Bar,47.69065857179805,-122.35136264389898,Coffee Shop
204,Greenwood,47.6909806,-122.3548773,Gorditos,47.6905423106435,-122.35573931883447,Mexican Restaurant
205,Greenwood,47.6909806,-122.3548773,Dreamstrands Comics and Collectibles,47.6906343647936,-122.35737119790862,Comic Shop
206,Greenwood,47.6909806,-122.3548773,Valhalla Sandwiches,47.68858204789275,-122.35509863221664,Sandwich Place
207,Greenwood,47.6909806,-122.3548773,Hazel Salon & Organics,47.6892568436999,-122.35540307168867,Spa
208,Greenwood,47.6909806,-122.3548773,North Star Diner,47.6923012626954,-122.35509140966862,Diner
209,Greenwood,47.6909806,-122.3548773,Ladywell's Vitality Spa & Sauna,47.691412045398486,-122.35739042430747,Spa
210,Greenwood,47.6909806,-122.3548773,The Pocket Theater,47.68957390741138,-122.35510818410013,Theater
211,Greenwood,47.6909806,-122.3548773,Urban Light Studios,47.691616293643314,-122.35590854842854,Event Space
212,Greenwood,47.6909806,-122.3548773,La Conasupo,47.69106170847363,-122.35521414187436,Mexican Restaurant
213,Greenwood,47.6909806,-122.3548773,Hummus Cafe,47.69059029580317,-122.35524091090781,Middle Eastern Restaurant
214,Greenwood,47.6909806,-122.3548773,Greenwood Space Travel Supply Co.,47.690371184495646,-122.3550960428387,Toy / Game Store
215,Greenwood,47.6909806,-122.3548773,Razzi's Pizzeria,47.6911066364738,-122.35536215957266,Pizza Place
216,Greenwood,47.6909806,-122.3548773,Greenwood Park,47.69314988016651,-122.3508102401744,Playground
217,Greenwood,47.6909806,-122.3548773,The Olive & Grape,47.690844997634954,-122.35514050115624,Mediterranean Restaurant
218,Greenwood,47.6909806,-122.3548773,Coindexter's,47.69159191611602,-122.35507513667616,Arcade
219,Greenwood,47.6909806,-122.3548773,Murray's Cheese,47.69088476066397,-122.35922625070627,Cheese Shop
220,Greenwood,47.6909806,-122.3548773,Georgia's Greek Restaurant & Deli,47.69033787413085,-122.35946286850836,Greek Restaurant
221,Greenwood,47.6909806,-122.3548773,The Fiber Gallery,47.688970442596435,-122.35524773244776,Arts & Crafts Store
222,Greenwood,47.6909806,-122.3548773,Taqueria Tequila,47.69041086631398,-122.36079979248916,Mexican Restaurant
223,Greenwood,47.6909806,-122.3548773,Couth Buzzard Books,47.68950915071044,-122.35513244773722,Bookstore
224,Greenwood,47.6909806,-122.3548773,Kalia Indian Cuisine,47.69097416787738,-122.3551194465666,Indian Restaurant
225,Greenwood,47.6909806,-122.3548773,Stage Door Cafe,47.69065433624437,-122.3560001682221,Café
226,Greenwood,47.6909806,-122.3548773,The Angry Beaver,47.69026830186801,-122.35509724015354,Sports Bar
227,Greenwood,47.6909806,-122.3548773,Phad Thai,47.690955027011526,-122.35517204257971,Thai Restaurant
228,Greenwood,47.6909806,-122.3548773,Hound's Tooth Public House,47.69237673020681,-122.35541477839159,Pub
229,Greenwood,47.6909806,-122.3548773,Starbucks,47.69273887290132,-122.35526083213821,Coffee Shop
230,Greenwood,47.6909806,-122.3548773,American Dance Institute,47.687196053204566,-122.35562015881887,Dance Studio
231,Greenwood,47.6909806,-122.3548773,Stacia's Gourmet Pizza and Pasta,47.69050157313432,-122.36102827492348,Pizza Place
232,Greenwood,47.6909806,-122.3548773,Starbucks,47.69170754629118,-122.35887839359094,Coffee Shop
233,Greenwood,47.6909806,-122.3548773,Diva Espresso,47.686910158926665,-122.35514211920531,Coffee Shop
234,Greenwood,47.6909806,-122.3548773,Fred Meyer,47.6918485,-122.3587792,Supermarket
235,Greenwood,47.6909806,-122.3548773,The Lash and Wax Boutique,47.69036102294922,-122.35160827636719,Spa
236,Greenwood,47.6909806,-122.3548773,North Seattle Boys & Girls Club,47.69211479467258,-122.35011568919292,Athletics & Sports
237,Greenwood,47.6909806,-122.3548773,Airganic,47.693551,-122.35897,Home Service
238,Greenwood,47.6909806,-122.3548773,The Cunning Crow Apothecary,47.694931,-122.354978,Herbs & Spices Store
239,Capitol Hill,47.6238307,-122.318368,Espresso Vivace,47.623667,-122.320692,Coffee Shop
240,Capitol Hill,47.6238307,-122.318368,CorePower Yoga,47.623323,-122.3212249,Yoga Studio
241,Capitol Hill,47.6238307,-122.318368,Witness,47.62233857842506,-122.32096155631781,Cocktail Bar
242,Capitol Hill,47.6238307,-122.318368,Due' Cucina Italiana,47.62243120000001,-122.3205861,Italian Restaurant
243,Capitol Hill,47.6238307,-122.318368,Herb & Bitter Public House,47.623560360932245,-122.32091704223164,Cocktail Bar
244,Capitol Hill,47.6238307,-122.318368,Lionhead,47.624880599733395,-122.32082398938964,Szechuan Restaurant
245,Capitol Hill,47.6238307,-122.318368,Altura,47.62476315768852,-122.3211028556883,Italian Restaurant
246,Capitol Hill,47.6238307,-122.318368,Bait Shop,47.62459501994105,-122.3208606077965,Bar
247,Capitol Hill,47.6238307,-122.318368,Pho Than Brothers,47.623911209348904,-122.32107255721172,Noodle House
248,Capitol Hill,47.6238307,-122.318368,Boca Restobar & Grill,47.622616957782924,-122.32077822089194,Argentinian Restaurant
249,Capitol Hill,47.6238307,-122.318368,Corvus & Co.,47.62438019046556,-122.32114067796788,Cocktail Bar
250,Capitol Hill,47.6238307,-122.318368,Joe Bar,47.62510841261312,-122.32162083357389,Coffee Shop
251,Capitol Hill,47.6238307,-122.318368,Rom Mai Thai,47.62471467069717,-122.32106712925105,Thai Restaurant
252,Capitol Hill,47.6238307,-122.318368,Espresso Vivace Sidewalk Bar,47.621633627815214,-122.32105659897381,Coffee Shop
253,Capitol Hill,47.6238307,-122.318368,underU4men,47.62536118374875,-122.3214527964592,Men's Store
254,Capitol Hill,47.6238307,-122.318368,Wedgwood II Vegetarian Thai,47.62265786482233,-122.32084083972205,Thai Restaurant
255,Capitol Hill,47.6238307,-122.318368,The Massage Sanctuary,47.6252467,-122.3215429,Massage Studio
